formula,A001,A002,A003,A004,A005,A006,A007,A008,A009,A010,A011,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A025,A026,A027,A028,A029,A030,A031,A032,A033,A034,A035,A036,A037,A038,A039,A040,A041,A042,A043,A044,A045,A046,A047,A048,A049,A050,A051,A052,A053,A054,A055,A056,A057,A058,A059,A060,A061,A062,A063,A064,A065,A066,A067,A068,A069,A070,A071,A072,A073,A074,A075,A076,A077,A078,A079,A080,A081,A082,A083,A084,A085,A086,A087,A088,A089,A090
C10H11NO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29338403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.103920421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.870464904,0.0,0.0,4.71222973,0.0,0.0,54.58070175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C10H11NO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.88974918,57.65954375,0.0,0.0,0.0,0.7161268555,0.0,0.0,0.0,0.93780698,0.0,0.488511628,4.0532345015,10.71532258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.38494681,0.0,0.0,0.0,0.0,2.8096311475,0.0,4.812479806,0.0,0.0,0.0,0.0,0.0,0.907269155,0.0,0.0,0.0,0.9960321715,0.0,0.0,1.400097466,0.0,0.0,8.198796865,0.0,0.0,0.0,2.413898305,0.2208118555,0.0,0.0,0.0,0.0,0.6312132355,0.762579763,0.0,0.0,36.4542567585,0.0,0.0,99.206140325,0.0,0.0,2.951394231,0.0,0.3830378725,0.0,0.0,2.2617671345,0.0,2.3173675355,0.0,0.0,0.0
C10H11NO5,3.061133603,55.75876993,14.31483458,8.167083659,10.81808511,1.53117284,4.785125698,15.42770833,10.96641961,8.645425188,36.50443686,0.0,8.659432933,4.494068441,9.702571429,5.440823184,2.171742543,6.959379217,0.0,14.49974668,0.0,3.954674709,2.880566802,0.0,7.425876011,5.413608871,6.9069,0.0,0.0,2.122929172,12.77777188,0.0,0.0,0.0,2.182451923,8.107247899,20.91973404,3.324986119,10.83773987,23.64771784,6.143991567,8.075819672,0.0,9.496768982,0.0,4.52400722,0.0,0.0,6.13105618,0.0,12.04290221,0.0,4.336931079,0.0,4.355894428,0.0,3.346978558,0.0,0.0,5.427028539,0.0,0.0,4.001502404,9.671864407,2.008891753,85.50233593,51.12968397,5.350947159,22.8753112,0.0,15.47639015,37.16276068,6.143866944,7.706756757,0.0,0.0,19.79385965,0.0,8.52745975,0.0,0.0,0.0,0.0,0.0,3.535094963,3.24226553,19.52598823,0.0,2.619365609,10.29196217
C10H12N2,2.505060729,3.361503417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.255774885,0.0,1.787044534,1.75820643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.574960212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.532310178,9.823463318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04813278,0.0,15.73099362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.80739232,0.0,0.0,5.229354446,2.526156434,0.0,0.0,0.0
C10H12N2O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.130188679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1004.847092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.270913462,0.0,0.0,0.0,0.0,0.0,0.0
C10H12N4O4,0.0,0.0,2.637406617,0.822595778,3.5944148934999998,1.778472222,1.841480447,2.1964583335,4.3629988595,7.102556514,2.9593856655,2.973804574,3.847982552,1.607110266,0.0,0.0,2.5226059655000004,2.1576923075,0.0,13.295851805000002,6.068685121,9.098815166,7.023751687,1.4225581395,7.514690025,1.8808971775,3.30165,3.950945122,0.0,1.817827131,0.0,5.43476734,9.513955478,4.3185915495,3.5109375000000003,6.921113445,0.0,5.090838423,3.2558635395,8.822147305,3.438931834,1.9768442625,3.3630930660000002,1.07411147,0.0,5.505595668,4.6825396825,4.084493856,4.667258427,0.0,5.520609885,4.3683576415,3.4986671,2.4968364615,9.019442815,1.947327586,0.0,3.621746926,0.8278985505,0.9350867375,4.2847208375,6.285617597,4.1396935095,2.529322034,1.982216495,2.0788097885,1.743792325,8.3501994,0.0,3.7935661764999997,1.397310848,0.0,0.494074844,1.506689189,1.812781186,1.0006940065,0.0,8.441925467499999,0.0,3.3670673075,5.459042555,0.7648670424999999,2.36516298,0.0,0.0,2.60453715,0.4634987385,3.470409134,1.532929883,1.2643026005
C10H12N4O6,0.0,1.009794989,12.08164354,0.931430805,4.563031915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.777099237,0.0,0.0,0.0,3.118838305,3.507962213,0.0,0.0,6.127854671,0.0,4.499595142,0.0,4.599191375,0.0,4.0992,0.0,0.0,0.0,0.0,4.937225637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.862831461,0.0,0.0,4.536905517,0.0,1.517855228,0.0,0.0,0.0,0.0,1.439565217,2.315053162,0.0,2.734517766,0.0,0.0,5.371262887,0.0,6.306433409,0.0,0.0,0.0,0.0,6.117974181,0.0,2.865608108,0.0,1.110473186,0.0,0.0,1.589355993,0.0,0.0,0.0,2.938882421,0.0,0.0,1.807673569,0.0,0.0,0.0,3.473522459
C10H13N5O,0.7877530365000001,9.15404327925,18.49218249675,5.11073104,26.9977393635,15.125617285,14.52407472,40.015833325,17.8720210945,20.885239505,12.446245733,19.710421,7.26322246425,9.613745247499999,26.2308571425,6.339972700000001,6.524803769,21.556072873,11.598307951999999,28.856048131,33.2296712825,20.2878069795,17.08475033875,4.1346279075,50.53726414249999,0.0,18.8679,1.8733536585,0.0,19.9704982015,0.0,13.899890254999999,25.60363869875,17.00640845175,46.022415864500005,20.19556197275,0.0,13.83260688475,13.757782515,36.893231327500004,14.703478566500001,42.537961061749996,15.04222171325,3.7945880465000004,11.5038003975,12.82454873575,24.0239898975,0.0,11.5375280905,31.174263260750003,0.0,13.71482244625,7.45260078075,10.21833780375,9.22218475125,7.80086206975,8.77461013725,15.351716189000001,6.96920289975,8.44390039125,14.8683574265,16.082233504,9.17943209,16.788983052,21.919007731500002,37.3165461615,37.973448077499995,90.0891326,9.65710580875,16.8485294125,21.5840018225,18.0549652425,8.07047817025,6.0432770265,4.9785276085,2.78332807575,17.34568713575,31.569476485,61.92826476725,92.513004794,158.17188104325,2.43680499625,11.489275319999999,8.89222355775,3.2939925675,25.82055420275,17.70164003425,5.91129876375,5.31517111875,21.8127659575
C10H13N5O4,0.0,0.0,9.252934899,1.455903049,5.762234043,4.277623457,4.036382682,0.0,5.648688712,0.0,0.0,10.53804574,21.9261723,7.199087452,0.0,0.0,4.905180534,3.070985155,2.695600677,0.0,0.0,3.113227057,3.789878543,1.016651163,11.06846361,6.144556452,0.0,0.0,8.425512104,4.578391357,0.0,6.74143986,19.77585616,0.0,3.637019231,14.68203782,0.0,5.815102721,6.919829424,0.0,0.0,0.0,0.0,4.344911147,0.0,8.182490975,6.733621934,0.0,7.086067416,0.0,0.0,3.425745086,0.0,2.358820375,4.600117302,0.0,6.114035088,9.783043033,0.0,4.563122552,16.21645065,12.84568528,2.273617788,8.062372881,0.0,12.06573971,8.244920993,15.63948156,7.092012448,3.920294118,3.854603464,10.05163853,0.0,2.425135135,2.772597137,0.0,0.0,9.31011535,13.80509839,10.06326923,13.58297872,0.0,2.884400466,0.0,5.109413708,0.0,0.0,10.81969553,4.474207012,6.091962175
C10H13N5O5,0.0,3.016400911,14.32251868,2.147146208,0.0,0.0,2.53575419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510247795,8.855102041,8.44534413,2.235532995,4.995883471,4.216782007,5.807669108,0.0,0.821023256,0.0,4.735584677,0.0,0.0,0.0,7.289195678,0.0,6.78832309,9.756421233,0.0,4.475721154,0.0,0.0,4.761354803,9.174840085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46450216,0.0,3.004853933,0.0,0.0,9.253772987,4.053120936,0.0,6.936422287,0.0,26.71267057,12.97976434,0.0,13.32557359,19.41071785,12.9250423,2.454447115,8.310508475,6.330541237,17.83214683,8.231715576,7.214057827,4.71379668,4.156764706,3.765998177,14.28440914,0.0,2.993108108,3.27402863,1.147949527,5.65,6.695031056,0.0,0.0,0.0,0.0,5.037485448,3.984375,7.358546656,0.0,2.910176619,4.612749762,0.0,5.660283688
